trial,arm,reward,cost
0,0,3.202013661296653,0.16
0,1,0.6141494844317387,0.12
0,2,6.628521971013866,0.08
0,3,7.901964137629436,0.04
0,4,3.7595521670320813,0.07
1,0,16.312564905682063,0.16
1,1,1.3003566451874222,0.12
1,2,2.9766818762072895,0.08
1,3,0.4029885212173609,0.04
1,4,2.7541363380025228,0.07
2,0,17.87520896067568,0.16
2,1,2.4204222454945126,0.12
2,2,12.767626146150825,0.08
2,3,2.5634606796646064,0.04
2,4,1.833072239209284,0.07
3,0,2.5232391116333215,0.16
3,1,0.37619341436719594,0.12
3,2,0.08120851867557571,0.08
3,3,1.11147620613499,0.04
3,4,3.6798992454316983,0.07
4,0,6.343467422693979,0.16
4,1,0.026735226561424227,0.12
4,2,5.444787489673905,0.08
4,3,4.0244505859641615,0.04
4,4,4.009374948729418,0.07
5,0,2.0708313716417575,0.16
5,1,2.1166805791789796,0.12
5,2,0.35783632717438346,0.08
5,3,1.0792123823398179,0.04
5,4,6.284348563534277,0.07
6,0,6.439565209023798,0.16
6,1,0.7063717648011387,0.12
6,2,6.926741613133307,0.08
6,3,3.6946598494345033,0.04
6,4,4.711961778110079,0.07
7,0,5.655611067471111,0.16
7,1,3.0566824800053163,0.12
7,2,7.793961676474485,0.08
7,3,0.3322756811990719,0.04
7,4,13.97192355035592,0.07
8,0,11.435471670414884,0.16
8,1,0.3025650982214476,0.12
8,2,1.227148509397765,0.08
8,3,0.8844580912667502,0.04
8,4,4.139760888941242,0.07
9,0,5.793976945324975,0.16
9,1,1.5218875337956763,0.12
9,2,1.6057561937666431,0.08
9,3,0.5511273230712579,0.04
9,4,5.83304222903987,0.07
10,0,17.043897684820955,0.16
10,1,0.03426697621870427,0.12
10,2,3.7762011802041213,0.08
10,3,3.7481905365737442,0.04
10,4,8.635446704434077,0.07
11,0,6.963341599653876,0.16
11,1,0.2510069207441544,0.12
11,2,2.220372244618351,0.08
11,3,1.7281152320313315,0.04
11,4,7.997546282630367,0.07
12,0,6.246092494065655,0.16
12,1,0.5416772283058531,0.12
12,2,3.422267337992017,0.08
12,3,0.5955781239388841,0.04
12,4,9.580026578139076,0.07
13,0,7.384067188628761,0.16
13,1,0.05188645481839724,0.12
13,2,2.9998361382380074,0.08
13,3,1.1979898527628505,0.04
13,4,2.4087511656131984,0.07
14,0,5.401635864260122,0.16
14,1,0.6595360779001704,0.12
14,2,2.101355595445049,0.08
14,3,2.708523083118938,0.04
14,4,4.516709688339844,0.07
15,0,5.8720891543735085,0.16
15,1,1.666274328292389,0.12
15,2,6.918339451690304,0.08
15,3,2.1864881395659697,0.04
15,4,1.5969833336754926,0.07
16,0,4.5736028239854685,0.16
16,1,1.540770022734441,0.12
16,2,10.508646535948278,0.08
16,3,1.7477612199268453,0.04
16,4,2.9322592351767534,0.07
17,0,10.810841547104914,0.16
17,1,0.6731696124500733,0.12
17,2,2.645513682150694,0.08
17,3,1.6520701490324485,0.04
17,4,1.950085784702768,0.07
18,0,8.516098534554855,0.16
18,1,1.9145154160161393,0.12
18,2,2.1423063181886057,0.08
18,3,5.374500497796196,0.04
18,4,1.4454121913458753,0.07
19,0,7.777817814025126,0.16
19,1,1.3986026146216952,0.12
19,2,3.6446348502088295,0.08
19,3,2.118965109420316,0.04
19,4,5.631600951937241,0.07
20,0,13.14909977926069,0.16
20,1,1.7643999216615613,0.12
20,2,8.390006953999174,0.08
20,3,1.311804048550814,0.04
20,4,3.3602174453933134,0.07
21,0,10.058734977097249,0.16
21,1,0.3482636590196769,0.12
21,2,2.280532474948006,0.08
21,3,4.973793247478765,0.04
21,4,4.939603858256427,0.07
22,0,0.3896350233822356,0.16
22,1,0.11682389450142805,0.12
22,2,5.498996670776708,0.08
22,3,0.08836964348104062,0.04
22,4,2.8002783613825257,0.07
23,0,6.445000627911755,0.16
23,1,6.150310879873509e-05,0.12
23,2,4.412253758864448,0.08
23,3,0.9406010345702108,0.04
23,4,4.083576761145262,0.07
24,0,3.6023360918338967,0.16
24,1,1.8258054301616433,0.12
24,2,2.6727826569966657,0.08
24,3,1.0570282452221953,0.04
24,4,1.3584582409116956,0.07
25,0,6.628931559392787,0.16
25,1,0.001274353254570464,0.12
25,2,4.032111709071029,0.08
25,3,0.13966209202144728,0.04
25,4,1.5882495099373535,0.07
26,0,4.565066182760361,0.16
26,1,0.18073290713451018,0.12
26,2,1.5609208821437068,0.08
26,3,0.9105268072137233,0.04
26,4,1.4154740006681081,0.07
27,0,7.576048566064547,0.16
27,1,0.03223668328905626,0.12
27,2,1.1716892271076338,0.08
27,3,2.4826481408983216,0.04
27,4,8.138935441456915,0.07
28,0,5.666536355319875,0.16
28,1,0.0442695819937871,0.12
28,2,4.142185121811149,0.08
28,3,1.8150926435328074,0.04
28,4,5.209879460024648,0.07
29,0,6.07153598381881,0.16
29,1,0.2643754780028603,0.12
29,2,3.050424032096111,0.08
29,3,0.5109806253972308,0.04
29,4,12.456665233892275,0.07
30,0,9.794450349355888,0.16
30,1,0.4105791470927374,0.12
30,2,5.10297243426987,0.08
30,3,1.388541306234336,0.04
30,4,4.681703244759604,0.07
31,0,9.574720615072561,0.16
31,1,0.005426972563969662,0.12
31,2,3.243132121304041,0.08
31,3,3.8919631134069683,0.04
31,4,6.488056061698078,0.07
32,0,7.401201781774703,0.16
32,1,0.22517938213949693,0.12
32,2,8.452347039424783,0.08
32,3,0.5547238351449995,0.04
32,4,2.7770062855826434,0.07
33,0,5.455282475559339,0.16
33,1,0.14997911376609588,0.12
33,2,5.483882906740644,0.08
33,3,0.7923167784064912,0.04
33,4,1.2245119323802625,0.07
34,0,4.829668017691895,0.16
34,1,0.04220310481407753,0.12
34,2,0.6271643848983715,0.08
34,3,0.4247428608038316,0.04
34,4,9.169365412016974,0.07
35,0,4.147350568620688,0.16
35,1,0.635332593292909,0.12
35,2,1.5069292156196297,0.08
35,3,2.368240375239819,0.04
35,4,4.823354556502027,0.07
36,0,9.721818865941206,0.16
36,1,1.6396627374997421,0.12
36,2,2.9751476558506624,0.08
36,3,0.542248413917394,0.04
36,4,9.479800447697318,0.07
37,0,6.813076619750106,0.16
37,1,1.0845779452805973,0.12
37,2,4.408079291856467,0.08
37,3,3.3105854414318348,0.04
37,4,3.6417564630991257,0.07
38,0,4.236493400903774,0.16
38,1,0.14599043096517442,0.12
38,2,2.4542326083353303,0.08
38,3,3.738393742257861,0.04
38,4,1.4084524610303524,0.07
39,0,7.477681749039503,0.16
39,1,1.1778488995110608,0.12
39,2,2.9499110959204033,0.08
