trial,arm,reward,cost
0,0,0.3136698437631692,0.04
0,1,0.05802544914918815,0.06
0,2,0.8082691595924897,0.03
0,3,0.19522448052123345,0.12
0,4,0.09826707290911674,0.05
1,0,0.0927217774553889,0.04
1,1,0.043715736696626484,0.06
1,2,0.45403949660161275,0.03
1,3,0.3622295117745888,0.12
1,4,0.34738975701427827,0.05
2,0,0.35082124966668826,0.04
2,1,0.11131793154298955,0.06
2,2,0.19125040766704082,0.03
2,3,0.008081438716962413,0.12
2,4,0.13650550560691982,0.05
3,0,0.10490242672805489,0.04
3,1,0.1440391285644766,0.06
3,2,2.0252643934389383,0.03
3,3,0.3469888061436972,0.12
3,4,0.08823434139200173,0.05
4,0,0.722857954647465,0.04
4,1,0.17772324567855757,0.06
4,2,0.4371079985568044,0.03
4,3,0.013590803747570249,0.12
4,4,0.23829594393159254,0.05
5,0,0.0705347206368792,0.04
5,1,0.13896666011678652,0.06
5,2,1.4054337871792648,0.03
5,3,0.41907195249830687,0.12
5,4,0.2548677311532735,0.05
6,0,0.6284062861152672,0.04
6,1,0.4730955938438606,0.06
6,2,0.113470198651284,0.03
6,3,0.008702391359559195,0.12
6,4,0.2567126488572585,0.05
7,0,0.00026327718306374366,0.04
7,1,0.23036250359623547,0.06
7,2,0.08540544895377236,0.03
7,3,0.0883872747777892,0.12
7,4,0.2048785484773127,0.05
8,0,1.10178692221478,0.04
8,1,0.08656759174323016,0.06
8,2,0.7724890951456134,0.03
8,3,0.10930289355845338,0.12
8,4,0.2311392099563485,0.05
9,0,0.01577104122354507,0.04
9,1,0.06274908119690217,0.06
9,2,0.42838633763275535,0.03
9,3,0.010576545736397998,0.12
9,4,0.0900151199471465,0.05
10,0,0.6433293966514945,0.04
10,1,0.6839238690308727,0.06
10,2,0.2114967189301005,0.03
10,3,0.026646540033563478,0.12
10,4,0.09648286108401269,0.05
11,0,0.1937598561574866,0.04
11,1,0.0001806003673139312,0.06
11,2,1.6145869486479747,0.03
11,3,0.0748859750877247,0.12
11,4,0.6777238267332016,0.05
12,0,0.04181373442406329,0.04
12,1,0.5589127596359877,0.06
12,2,0.8383775655656808,0.03
12,3,0.3155855720278386,0.12
12,4,0.13530630302897997,0.05
13,0,0.11634939886017674,0.04
13,1,0.018265016186106948,0.06
13,2,1.8217177497574064,0.03
13,3,0.17724606362580483,0.12
13,4,0.36739614629608913,0.05
14,0,0.33051286178147254,0.04
14,1,0.038627164009617326,0.06
14,2,0.18513308443226648,0.03
14,3,0.41196176653393385,0.12
14,4,0.28825119399850097,0.05
15,0,0.31345935637379607,0.04
15,1,0.15067178046062082,0.06
15,2,0.5047503514568072,0.03
15,3,0.2933912046175569,0.12
15,4,0.0958516281192867,0.05
16,0,0.3979151660988676,0.04
16,1,0.45253778160894664,0.06
16,2,1.3139983735024574,0.03
16,3,1.5080159041396248,0.12
16,4,0.01720717764584657,0.05
17,0,0.09329116538833543,0.04
17,1,0.23471378429775558,0.06
17,2,0.1185999780546939,0.03
17,3,0.18522658679859808,0.12
17,4,0.001112305248465593,0.05
18,0,1.1708500710184995,0.04
18,1,0.051213633367025835,0.06
18,2,0.2708407054721632,0.03
18,3,0.0008905140577037098,0.12
18,4,0.005936549704291105,0.05
19,0,0.2620230198401165,0.04
19,1,0.48330040512577144,0.06
19,2,0.05406867357271354,0.03
19,3,0.734009963725392,0.12
19,4,0.13413065324535997,0.05
20,0,0.09856565511422086,0.04
20,1,0.04344692283864737,0.06
20,2,1.2436596106386806,0.03
20,3,0.1485110393240321,0.12
20,4,0.060082658507538377,0.05
21,0,0.12261805367689842,0.04
21,1,0.06185796270285139,0.06
21,2,0.19837149427879813,0.03
21,3,0.24672875306701184,0.12
21,4,0.0007969092837889719,0.05
22,0,0.0070134082042152615,0.04
22,1,1.3611587682482935,0.06
22,2,1.0487069447398096,0.03
22,3,0.038917489719841346,0.12
22,4,0.33774404191016266,0.05
23,0,0.024204507844016787,0.04
23,1,0.31756525487443193,0.06
23,2,0.01116140508913643,0.03
23,3,0.12043703014128744,0.12
23,4,0.02300016045646103,0.05
24,0,0.055482598986876644,0.04
24,1,0.07734511741760708,0.06
24,2,0.0021935858280220056,0.03
24,3,0.3114334350670213,0.12
24,4,0.26053116062999226,0.05
25,0,0.011466317458885721,0.04
25,1,0.007252319431371066,0.06
25,2,2.54944969226192,0.03
25,3,0.4997766084692188,0.12
25,4,0.13600441288371254,0.05
26,0,0.07558006646492567,0.04
26,1,0.03351166491672421,0.06
26,2,1.1843459103883758,0.03
26,3,0.014314996487015064,0.12
26,4,0.002746703166288427,0.05
27,0,6.868961547084851e-05,0.04
27,1,0.05757545161413287,0.06
