trial,arm,reward,cost
0,0,0.31064020449862817,0.04
0,1,1.859756504409777,0.06
0,2,0.45266040378601424,0.03
0,3,6.260097124285575,0.12
0,4,0.05941520098427353,0.05
1,0,0.5860005804344911,0.04
1,1,0.6818330199980637,0.06
1,2,0.747131061814464,0.03
1,3,2.3044158683905858,0.12
1,4,0.47644320900444403,0.05
2,0,1.6639875854227264,0.04
2,1,1.3393304107822455,0.06
2,2,0.2937728409973936,0.03
2,3,5.128407607365499,0.12
2,4,1.1384850199342047,0.05
3,0,0.2094820421793188,0.04
3,1,0.9082574332780435,0.06
3,2,1.7377677753471936,0.03
3,3,2.6753025405839117,0.12
3,4,0.33382971123225413,0.05
4,0,1.0301486783815124,0.04
4,1,0.8311637907816025,0.06
4,2,1.3318739989473358,0.03
4,3,8.33627269963083,0.12
4,4,0.8499181339407154,0.05
5,0,1.6382073827702504,0.04
5,1,3.2982333069353302,0.06
5,2,2.971779399538073,0.03
5,3,1.8727703481319118,0.12
5,4,1.1279952290826818,0.05
6,0,2.55690108262966,0.04
6,1,0.6373603339009384,0.06
6,2,1.5771272519454136,0.03
6,3,5.6841862158882055,0.12
6,4,1.075599754741196,0.05
7,0,0.2744722411996936,0.04
7,1,1.202375287138716,0.06
7,2,2.048240703322681,0.03
7,3,1.5531354858808006,0.12
7,4,0.48765339265587737,0.05
8,0,0.7546001141782949,0.04
8,1,2.1146098368989485,0.06
8,2,0.3987018917009917,0.03
8,3,2.4770974194853976,0.12
8,4,0.2787311746175135,0.05
9,0,3.03697897109481,0.04
9,1,1.1777250249776874,0.06
9,2,2.0315398524100106,0.03
9,3,1.388714841089226,0.12
9,4,0.5130026576599327,0.05
10,0,1.6918397879141234,0.04
10,1,1.3341782089472536,0.06
10,2,0.5622154280061897,0.03
10,3,4.16531658534027,0.12
10,4,0.6391859922104045,0.05
11,0,0.8555668344980043,0.04
11,1,1.369940031210957,0.06
11,2,0.10490175623384533,0.03
11,3,1.9450623015188606,0.12
11,4,0.8974212683557024,0.05
12,0,0.22467872080927279,0.04
12,1,0.8638999486982037,0.06
12,2,0.6253919828237942,0.03
12,3,2.1662502473934633,0.12
12,4,1.650592651079422,0.05
13,0,0.6707869284845339,0.04
13,1,1.6901355198707653,0.06
13,2,1.2557817847804282,0.03
13,3,1.655443625405062,0.12
13,4,0.27519534636721854,0.05
14,0,1.4273518516230366,0.04
14,1,1.2922136294892734,0.06
14,2,2.587453756372553,0.03
14,3,2.423777631029238,0.12
14,4,1.3855923041478508,0.05
15,0,1.0671161846931945,0.04
15,1,1.3933210657912949,0.06
15,2,2.629562566597131,0.03
15,3,3.339583004880563,0.12
15,4,0.7835121398389157,0.05
16,0,0.21382905624620377,0.04
16,1,0.25040501500237583,0.06
16,2,1.3110843854338945,0.03
16,3,2.1931867968577374,0.12
16,4,0.6590126391828266,0.05
17,0,0.7142958484346246,0.04
17,1,1.5632247551061704,0.06
17,2,0.3083133255391179,0.03
17,3,3.056381419165228,0.12
17,4,0.536203147612218,0.05
18,0,0.32305175063859165,0.04
18,1,1.018346671956064,0.06
18,2,1.160918092357918,0.03
18,3,5.815257016216243,0.12
18,4,0.4919486089399787,0.05
19,0,0.9269937998572636,0.04
19,1,2.2623556903080164,0.06
19,2,0.5742316177520584,0.03
19,3,2.1702422930902325,0.12
19,4,0.3066986572385943,0.05
20,0,0.9530231461203489,0.04
20,1,1.0472111464601455,0.06
20,2,0.9748707418119091,0.03
20,3,0.2457146981200078,0.12
20,4,0.5106488603755809,0.05
21,0,0.7004178870179824,0.04
21,1,3.246597689087416,0.06
21,2,1.4554477879255296,0.03
21,3,2.8027775539626614,0.12
21,4,0.32380160045542317,0.05
22,0,1.2661960490072763,0.04
22,1,1.4918910633978055,0.06
22,2,0.4080400344507537,0.03
22,3,6.160975886061852,0.12
22,4,1.1314115680845973,0.05
23,0,1.0954158706772061,0.04
23,1,0.6426643535681689,0.06
23,2,0.8194258203208914,0.03
23,3,1.3996148661958954,0.12
23,4,0.43546550764580866,0.05
24,0,1.6158884701562592,0.04
24,1,0.38242345826868296,0.06
24,2,0.19289229291735996,0.03
24,3,3.127506004661294,0.12
24,4,0.546987410870949,0.05
25,0,0.8785293191881612,0.04
25,1,1.2915515264673918,0.06
25,2,0.5304183248776972,0.03
25,3,4.816273140864342,0.12
25,4,0.5679020779005567,0.05
26,0,1.0355462804527873,0.04
26,1,1.2599681527431743,0.06
26,2,1.192544567594632,0.03
26,3,2.471355278656721,0.12
26,4,0.19393891508463657,0.05
27,0,1.090640533264779,0.04
27,1,0.6801066122861084,0.06
27,2,1.3496547771698584,0.03
27,3,3.1135262580711434,0.12
27,4,0.6472968383997791,0.05
28,0,0.7347095718840658,0.04
28,1,0.9892871101418983,0.06
28,2,0.45014658726610257,0.03
28,3,4.019349202878067,0.12
28,4,0.7839511958351315,0.05
29,0,0.26985479250753885,0.04
29,1,0.41364287367454583,0.06
29,2,0.16982709054683018,0.03
29,3,2.022480218845202,0.12
29,4,1.3836378827734648,0.05
30,0,0.2116666940706391,0.04
30,1,0.44035325183053226,0.06
30,2,0.20862073325722902,0.03
30,3,1.168205251451453,0.12
30,4,0.4668740889763923,0.05
31,0,0.15679109622459286,0.04
31,1,2.1126504311678107,0.06
31,2,0.24377988570179468,0.03
31,3,4.080841703128139,0.12
31,4,0.11684003059934134,0.05
32,0,1.3679806093591158,0.04
32,1,1.175007985430307,0.06
32,2,1.6065010240580786,0.03
32,3,2.0350204038694537,0.12
32,4,0.9589349061309483,0.05
33,0,0.4563531570795459,0.04
33,1,1.635921716952527,0.06
33,2,2.0674309508703645,0.03
33,3,4.103323138189444,0.12
33,4,1.4658621317273868,0.05
34,0,0.7519357790198793,0.04
34,1,0.9123498308855137,0.06
34,2,0.4077808555055125,0.03
34,3,1.850590189479794,0.12
34,4,0.21831021691889252,0.05
35,0,1.2187502586855001,0.04
35,1,0.8115245254660073,0.06
35,2,0.6795183571434076,0.03
35,3,3.6765513770558393,0.12
35,4,0.5878990672642656,0.05
36,0,2.715223484592414,0.04
36,1,1.000847926553965,0.06
