trial,arm,reward,cost
0,0,0.25154342582186645,0.04
0,1,0.07740719558356185,0.06
0,2,0.4336197967693722,0.03
0,3,3.430618269008538,0.12
0,4,0.10691391129297137,0.05
1,0,0.048298523870296296,0.04
1,1,0.1895714516938224,0.06
1,2,0.11008986982746437,0.03
1,3,0.08879267246977542,0.12
1,4,0.12953515301602098,0.05
2,0,0.19185051040957593,0.04
2,1,0.4666213292663187,0.06
2,2,0.4395067824654147,0.03
2,3,0.22542461766718522,0.12
2,4,0.048179300914642016,0.05
3,0,0.00272647969504693,0.04
3,1,0.1845786820461354,0.06
3,2,0.1260645916806719,0.03
3,3,0.29145245901801187,0.12
3,4,0.8408543898515225,0.05
4,0,0.04068944871188384,0.04
4,1,0.7705899911776622,0.06
4,2,0.16237366284509375,0.03
4,3,0.4088657619110534,0.12
4,4,0.012762837400008848,0.05
5,0,0.16823345743314383,0.04
5,1,0.13292063899630477,0.06
5,2,0.12088307052491273,0.03
5,3,1.5157408249622555,0.12
5,4,0.21622298697177528,0.05
6,0,0.18430572715766821,0.04
6,1,0.6997842654163647,0.06
6,2,0.5331805203147273,0.03
6,3,0.09623743047242106,0.12
6,4,0.009035496638933297,0.05
7,0,0.18613589265903405,0.04
7,1,0.003741930962212202,0.06
7,2,0.016156008447875934,0.03
7,3,0.18703372560280096,0.12
7,4,0.14105876731456818,0.05
8,0,0.996068179402826,0.04
8,1,0.14086883534228806,0.06
8,2,0.06440093249808687,0.03
8,3,0.7714755695314106,0.12
8,4,0.06431584090561211,0.05
9,0,0.1614972356742044,0.04
9,1,0.04735148209372092,0.06
9,2,0.04014641830034681,0.03
9,3,0.3998553305286463,0.12
9,4,0.010509372341970254,0.05
10,0,0.042016807483228134,0.04
10,1,0.7112227107831819,0.06
10,2,0.8703734362104948,0.03
10,3,0.18536534045864805,0.12
10,4,0.021501987211416013,0.05
11,0,0.046923084482744085,0.04
11,1,0.29772525980029435,0.06
11,2,4.823145506666613e-06,0.03
11,3,1.7740415465014125,0.12
11,4,0.04787973990569359,0.05
12,0,0.8101971415608481,0.04
12,1,0.09091470645532407,0.06
12,2,0.6639030316679839,0.03
12,3,0.8457885713502109,0.12
12,4,0.16747771697750907,0.05
13,0,0.07840222966347082,0.04
13,1,0.19755533483236076,0.06
13,2,0.005981869182369763,0.03
13,3,2.034710957884384,0.12
13,4,0.09759624323068962,0.05
14,0,0.310720076808534,0.04
14,1,0.4440379051408059,0.06
14,2,0.01899868923787219,0.03
14,3,0.16085413157380157,0.12
14,4,0.21295165910399244,0.05
15,0,0.21868167427210933,0.04
15,1,0.4272152456500886,0.06
15,2,0.13353443687404631,0.03
15,3,0.47956983054420377,0.12
15,4,0.15666777152801914,0.05
16,0,0.04643865390580363,0.04
16,1,0.5076152864005449,0.06
16,2,0.5032745354977551,0.03
16,3,1.4045197989487663,0.12
16,4,0.007144386087108059,0.05
17,0,0.06727761609373571,0.04
17,1,0.2830738213330439,0.06
17,2,0.028030118228879835,0.03
17,3,0.34029129904194266,0.12
17,4,0.00019893088338229174,0.05
18,0,1.0665612863223177,0.04
18,1,0.06871674029652161,0.06
18,2,0.09976069717759907,0.03
18,3,0.008359195919404323,0.12
18,4,0.001776914119393621,0.05
19,0,0.20804640882597603,0.04
19,1,0.5397660628388689,0.06
19,2,0.007240187512742053,0.03
19,3,0.6634850296523332,0.12
19,4,0.35273057674970093,0.05
20,0,0.07741382990407623,0.04
20,1,0.17244120675034902,0.06
20,2,0.02277809230648994,0.03
20,3,1.3197181784068317,0.12
20,4,0.08319939776480335,0.05
21,0,0.021428633063639086,0.04
21,1,0.9869659692895539,0.06
21,2,0.14955553500252558,0.03
21,3,0.12538280749847266,0.12
21,4,0.05020907544393084,0.05
22,0,0.12980620876727736,0.04
22,1,0.0011174168820909244,0.06
22,2,0.006469133688706245,0.03
22,3,2.721496020483203,0.12
22,4,0.3630361125076885,0.05
23,0,0.01621272654534489,0.04
23,1,0.45376193144322596,0.06
23,2,0.02520122772205691,0.03
23,3,0.6403557450345049,0.12
23,4,0.0012356188651985647,0.05
24,0,0.0583849889810227,0.04
24,1,0.03134290046330249,0.06
24,2,0.06264876825864896,0.03
24,3,0.15674560744877564,0.12
24,4,0.00014263586766157364,0.05
25,0,0.16435962347702993,0.04
25,1,0.35070452704237415,0.06
25,2,0.011097339695349647,0.03
25,3,0.014916283885273171,0.12
25,4,1.1322678143411398,0.05
26,0,0.26771677147644524,0.04
26,1,0.18390549057607775,0.06
26,2,0.08796127577415912,0.03
26,3,0.06819318061131538,0.12
26,4,0.4233656742051976,0.05
27,0,0.005214607807592292,0.04
27,1,0.0038111457719140224,0.06
27,2,4.030342232056229e-05,0.03
27,3,0.1167191316960103,0.12
27,4,0.06648706111098039,0.05
28,0,0.14573656692596423,0.04
28,1,0.29190311206929365,0.06
28,2,0.06166308340337817,0.03
28,3,0.32219179601857245,0.12
28,4,0.15949004400497221,0.05
29,0,0.13876860421472392,0.04
29,1,0.0006706149127249574,0.06
29,2,1.4994296807167302,0.03
29,3,0.017568455533112197,0.12
29,4,0.06904913017544326,0.05
30,0,0.00018081615364776,0.04
30,1,0.40732094463180346,0.06
30,2,0.2685634588096053,0.03
30,3,0.20151666056196113,0.12
30,4,0.07433098038059059,0.05
31,0,0.05669372214700034,0.04
31,1,1.1075109336718083,0.06
31,2,0.08444427231865675,0.03
31,3,0.15110716662495222,0.12
31,4,0.05898893474762456,0.05
32,0,0.6963419360102705,0.04
32,1,0.44532705028255093,0.06
32,2,0.12411822001190224,0.03
32,3,0.05021028003160938,0.12
32,4,0.016843135660608157,0.05
33,0,0.168144228737276,0.04
33,1,0.28514433637401454,0.06
33,2,0.35936737560635573,0.03
33,3,0.1542835470561735,0.12
33,4,0.14389513929553632,0.05
34,0,0.13164526214277747,0.04
34,1,0.9541546941924177,0.06
34,2,0.03745879349874678,0.03
34,3,1.0033916004123655,0.12
34,4,0.40003099795432395,0.05
35,0,0.3753673185945632,0.04
35,1,0.1275247439935455,0.06
35,2,0.3311901403237015,0.03
35,3,0.7283621289393419,0.12
35,4,0.10277058460151488,0.05
36,0,0.0024317754347516424,0.04
36,1,1.1588464944764578,0.06
36,2,0.05056236183397955,0.03
36,3,0.10688567506068616,0.12
36,4,0.030881677131700324,0.05
37,0,0.09000443209274982,0.04
37,1,1.0743099200164032,0.06
37,2,0.4102252030504512,0.03
37,3,0.012764511005894597,0.12
37,4,0.8639148595420983,0.05
38,0,0.05655413984781786,0.04
38,1,0.06873143289499938,0.06
38,2,0.09089298021848967,0.03
38,3,0.394648899033384,0.12
38,4,0.8900138600134083,0.05
39,0,0.042300597510994256,0.04
39,1,1.8494843845306919,0.06
39,2,0.32854456668464854,0.03
39,3,0.1434737216635049,0.12
39,4,0.07708636582281395,0.05
40,0,0.18454254034000558,0.04
40,1,0.17989896549041318,0.06
40,2,0.9502929369228666,0.03
40,3,0.005289453900552787,0.12
40,4,0.49606287462302234,0.05
41,0,0.0028127357135376125,0.04
41,1,0.17163902806113931,0.06
41,2,0.0001170825736220767,0.03
41,3,0.7834920214318521,0.12
41,4,0.10144115085370263,0.05
42,0,0.13157718711804584,0.04
42,1,0.3729168553953239,0.06
42,2,0.5623979091255399,0.03
42,3,0.07829383083114816,0.12
42,4,0.03536964073807375,0.05
43,0,0.05026998229816247,0.04
43,1,0.36576847403327334,0.06
43,2,0.5243107820709278,0.03
43,3,0.035529036485062095,0.12
43,4,0.2758491147677701,0.05
44,0,0.0007784373811258829,0.04
44,1,0.19785851065561547,0.06
44,2,0.6765971892245746,0.03
44,3,0.5618141959997202,0.12
44,4,0.6173127139057807,0.05
45,0,5.86226915695662e-10,0.04
45,1,0.8273499776867997,0.06
45,2,0.12000072293276921,0.03
45,3,0.10831657710593377,0.12
45,4,0.46413104304190234,0.05
46,0,0.7598584435043401,0.04
46,1,0.1815328787977648,0.06
46,2,1.362700685628393,0.03
46,3,1.110510070098521,0.12
46,4,0.7058849773361786,0.05
47,0,0.047268941338454454,0.04
