trial,arm,reward,cost
0,0,0.5373312177163188,0.03
0,1,0.38003335286849366,0.02
0,2,0.9302878780524955,0.12
0,3,0.7418878363587624,0.07
0,4,0.2902791331024122,0.01
1,0,0.477547596921557,0.03
1,1,0.6168734472584693,0.02
1,2,0.953710233022309,0.12
1,3,0.5525999333361795,0.07
1,4,0.3321439863492835,0.01
2,0,0.45879243272794057,0.03
2,1,0.3348758669826616,0.02
2,2,0.8509278203183163,0.12
2,3,0.41543837675750916,0.07
2,4,0.20992692882754754,0.01
3,0,0.4507048801080884,0.03
3,1,0.25943058850588296,0.02
3,2,0.8650667782556356,0.12
3,3,0.510937712825485,0.07
3,4,0.22677683049802777,0.01
4,0,0.616590069297783,0.03
4,1,0.36796544816290677,0.02
4,2,0.8168085168369579,0.12
4,3,0.4618489223097215,0.07
4,4,0.27355777114809265,0.01
5,0,0.505773467838267,0.03
5,1,0.24037798567346447,0.02
5,2,0.8770865323884134,0.12
5,3,0.5401393244577135,0.07
5,4,0.28717770688614236,0.01
6,0,0.44748039911963533,0.03
6,1,0.6545291616437825,0.02
6,2,0.8009599428412602,0.12
6,3,0.4967174617491894,0.07
6,4,0.3472351707623619,0.01
7,0,0.3968349894323704,0.03
7,1,0.4279022897511558,0.02
7,2,0.4202885237691159,0.12
7,3,0.47102232535464905,0.07
7,4,0.3135108206133458,0.01
8,0,0.5571065662436245,0.03
8,1,0.42273168597609695,0.02
8,2,0.7809791959648601,0.12
8,3,0.5685951489190175,0.07
8,4,0.22320766471919568,0.01
9,0,0.4378167437533128,0.03
9,1,0.33557791348464533,0.02
9,2,1.01037310744842,0.12
9,3,0.6298437375090038,0.07
9,4,0.20787213562594864,0.01
10,0,0.5232100686964942,0.03
10,1,0.34599715353058996,0.02
10,2,0.6711940567401544,0.12
10,3,0.6553092474398824,0.07
10,4,0.35847087426253177,0.01
11,0,0.572878713743705,0.03
11,1,0.28337190354759817,0.02
11,2,0.7431180592835024,0.12
11,3,0.6286700259833385,0.07
11,4,0.35548188235189515,0.01
12,0,0.45750354734425525,0.03
12,1,0.3734976271180596,0.02
12,2,0.5872008790844209,0.12
12,3,0.4835603707123362,0.07
12,4,0.3466951418270473,0.01
13,0,0.6076404343370932,0.03
13,1,0.389169804234072,0.02
13,2,0.9998910348276799,0.12
13,3,0.6315554223795252,0.07
13,4,0.2681280452267838,0.01
14,0,0.5262621605305883,0.03
14,1,0.6111952425156572,0.02
14,2,0.7965924267500935,0.12
14,3,0.7458411473023305,0.07
14,4,0.16169573888956276,0.01
15,0,0.5639316248578933,0.03
15,1,0.4111037907100438,0.02
15,2,0.7451141622488763,0.12
15,3,0.6059172737708727,0.07
