trial,arm,reward,cost
0,0,0.3496714153011233,0.081
0,1,0.4111735698828815,0.072
0,2,0.5265846625276664,0.034
0,3,0.651586304305082,0.091
0,4,0.9579212815507392,0.031
1,0,0.37674347291529087,0.098
1,1,0.3780525614065048,0.043
1,2,0.6042560043585965,0.043
1,3,0.6991962271566035,0.06
1,4,0.6086719755342203,0.05
2,0,0.19871688796655762,0.05
2,1,0.45642473325952737,0.056
2,2,0.6965648768921555,0.044
2,3,0.6524223699513465,0.066
2,4,0.7455617275474817,0.073
3,0,0.3110922589709866,0.042
3,1,0.3649361310081195,0.078
3,2,0.5208306250206723,0.061
3,3,0.6736502775262067,0.032
3,4,0.69422890710441,0.094
4,0,0.3822544912103189,0.052
4,1,0.30291563500289775,0.066
4,2,0.41718139511015695,0.098
4,3,0.6946861235869124,0.084
4,4,0.8738466579995411,0.036
5,0,0.317136828118997,0.044
5,1,0.41343517176117595,0.057
5,2,0.5198896304410712,0.049
5,3,0.6289361229040213,0.05
5,4,0.9057122226218917,0.068
6,0,0.3324083969394795,0.035
6,1,0.3864917719583683,0.099
6,2,0.48230779996940415,0.03
6,3,0.7361676288840868,0.087
6,4,0.9030999522495952,0.084
7,0,0.39312801191161983,0.035
7,1,0.34107824767773615,0.09
7,2,0.5190787624148786,0.074
7,3,0.627082576215471,0.052
7,4,0.7814341023336183,0.053
8,0,0.3812525822394198,0.092
8,1,0.5606240028570822,0.063
8,2,0.5861636025047634,0.083
8,3,0.6104880245394876,0.069
8,4,0.7964173960890049,0.067
9,0,0.45646436558140063,0.06
9,1,0.4337047068238171,0.052
9,2,0.5200992649534133,0.066
9,3,0.6530328112162489,0.059
9,4,0.8357112571511747,0.083
10,0,0.21915063971068122,0.095
10,1,0.37482429564154635,0.087
10,2,0.6415402117702075,0.086
10,3,0.7078751109659684,0.043
10,4,0.8097077549348041,0.087
11,0,0.3968644990532889,0.093
11,1,0.35479469061226476,0.046
11,2,0.5172337853402232,0.06
11,3,0.7046120277064577,0.03
11,4,0.826105527217989,0.066
12,0,0.15846292579495855,0.038
12,1,0.3829354677234641,0.054
12,2,0.5338714288333991,0.066
12,3,0.7154050856814539,0.079
12,4,0.8257550390722764,0.097
13,0,0.2925554084233833,0.048
13,1,0.23312287847009583,0.05
13,2,0.5473486124550784,0.033
13,3,0.6810230209941027,0.034
13,4,1.0,0.05
14,0,0.28076390352188774,0.04
14,1,0.4551547342333612,0.064
14,2,0.6642822814515021,0.047
14,3,0.7501933032686775,0.081
14,4,0.94027943109361,0.074
15,0,0.1598148937207719,0.068
15,1,0.3259463674869312,0.033
15,2,0.49337022703972283,0.071
15,3,0.5199336568933868,0.075
15,4,0.8068562974806027,0.042
16,0,0.20805757657661966,0.096
16,1,0.5799934405017539,0.04
16,2,0.4716746707663763,0.095
16,3,0.6427938483794324,0.091
16,4,0.8813517217369671,0.087
17,0,0.17691356835660446,0.069
17,1,0.2642516765438772,0.037
17,2,0.5684633858532304,0.093
17,3,0.7009882794248424,0.054
17,4,0.8781822871777311,0.054
18,0,0.35219415656168973,0.092
18,1,0.4546984673233186,0.085
18,2,0.48199752784215094,0.041
18,3,0.6982253697161004,0.093
18,4,0.8293072473298682,0.03
19,0,0.22856485819736322,0.041
19,1,0.6115774511144756,0.076
19,2,0.5973832920911788,0.046
19,3,0.5775318329772678,0.053
19,4,0.8787084603742452,0.082
20,0,0.39633761292443215,0.076
20,1,0.46627809269364984,0.07
20,2,0.525461188399713,0.049
20,3,0.599626383564251,0.047
20,4,0.7922898290585896,0.092
21,0,0.3341151974816644,0.074
21,1,0.42630018918779067,0.07
21,2,0.6953534077157317,0.064
21,3,0.7375667347765007,0.05
21,4,0.7142842443583718,0.032
22,0,0.19291075019388876,0.096
22,1,0.4732472415243185,0.097
22,2,0.527653721467415,0.031
22,3,0.7464000494092092,0.095
22,4,0.8473237624573545,0.097
