trial,arm,reward,cost
0,0,0.4496714153011233,0.081
0,1,0.4861735698828815,0.072
0,2,0.5765846625276664,0.034
0,3,0.6765863043050819,0.091
0,4,0.9579212815507392,0.031
1,0,0.4767434729152909,0.098
1,1,0.4530525614065048,0.043
1,2,0.6542560043585964,0.043
1,3,0.7241962271566034,0.06
1,4,0.6086719755342203,0.05
2,0,0.29871688796655765,0.05
2,1,0.5314247332595274,0.056
2,2,0.7465648768921553,0.044
2,3,0.6774223699513464,0.066
2,4,0.7455617275474817,0.073
3,0,0.4110922589709866,0.042
3,1,0.4399361310081195,0.078
3,2,0.5708306250206723,0.061
3,3,0.6986502775262066,0.032
3,4,0.69422890710441,0.094
4,0,0.48225449121031894,0.052
4,1,0.37791563500289777,0.066
4,2,0.4671813951101569,0.098
4,3,0.7196861235869123,0.084
4,4,0.8738466579995411,0.036
5,0,0.41713682811899705,0.044
5,1,0.48843517176117596,0.057
5,2,0.5698896304410711,0.049
5,3,0.6539361229040213,0.05
5,4,0.9057122226218917,0.068
6,0,0.4324083969394795,0.035
6,1,0.4614917719583683,0.099
6,2,0.5323077999694041,0.03
6,3,0.7611676288840867,0.087
6,4,0.9030999522495952,0.084
7,0,0.49312801191161987,0.035
7,1,0.41607824767773616,0.09
7,2,0.5690787624148785,0.074
7,3,0.6520825762154709,0.052
7,4,0.7814341023336183,0.053
8,0,0.4812525822394198,0.092
8,1,0.6356240028570823,0.063
8,2,0.6361636025047634,0.083
8,3,0.6354880245394875,0.069
8,4,0.7964173960890049,0.067
9,0,0.5564643655814007,0.06
9,1,0.5087047068238171,0.052
9,2,0.5700992649534132,0.066
9,3,0.6780328112162488,0.059
9,4,0.8357112571511747,0.083
10,0,0.31915063971068125,0.095
10,1,0.44982429564154636,0.087
10,2,0.6915402117702074,0.086
10,3,0.7328751109659684,0.043
10,4,0.8097077549348041,0.087
11,0,0.49686449905328894,0.093
11,1,0.4297946906122648,0.046
11,2,0.5672337853402232,0.06
11,3,0.7296120277064576,0.03
11,4,0.826105527217989,0.066
12,0,0.25846292579495855,0.038
12,1,0.4579354677234641,0.054
